UserID,PaymentDate,Amount,PaymentMethod,Month
U0001,2022-01-14,30.0,PayPal,2022-01
U0001,2022-02-14,30.0,Credit Card,2022-02
U0001,2022-03-14,30.0,Credit Card,2022-03
U0001,2022-04-14,30.0,Bank Transfer,2022-04
U0001,2022-05-14,30.0,PayPal,2022-05
U0001,2022-06-14,30.0,PayPal,2022-06
U0001,2022-07-14,30.0,Credit Card,2022-07
U0001,2022-08-14,30.0,PayPal,2022-08
U0001,2022-09-14,30.0,Credit Card,2022-09
U0001,2022-10-14,30.0,Credit Card,2022-10
U0001,2022-11-14,30.0,Bank Transfer,2022-11
U0001,2022-12-14,30.0,PayPal,2022-12
U0002,2022-08-25,20.0,PayPal,2022-08
U0002,2022-09-25,20.0,PayPal,2022-09
U0002,2022-10-25,20.0,PayPal,2022-10
U0003,2022-10-08,20.0,Bank Transfer,2022-10
U0004,2022-08-27,10.0,PayPal,2022-08
U0004,2022-09-27,10.0,Bank Transfer,2022-09
U0004,2022-10-27,10.0,Credit Card,2022-10
U0005,2022-03-05,10.0,PayPal,2022-03
U0005,2022-04-05,10.0,Bank Transfer,2022-04
U0005,2022-05-05,10.0,Credit Card,2022-05
U0005,2022-06-05,10.0,Bank Transfer,2022-06
U0005,2022-07-05,10.0,Credit Card,2022-07
U0005,2022-08-05,10.0,Credit Card,2022-08
U0005,2022-09-05,10.0,PayPal,2022-09
U0005,2022-10-05,10.0,Bank Transfer,2022-10
U0005,2022-11-05,10.0,PayPal,2022-11
U0005,2022-12-05,10.0,PayPal,2022-12
U0005,2023-01-05,10.0,PayPal,2023-01
U0005,2023-02-05,10.0,Credit Card,2023-02
U0006,2022-08-19,30.0,PayPal,2022-08
U0006,2022-09-19,30.0,Credit Card,2022-09
U0006,2022-10-19,30.0,PayPal,2022-10
U0006,2022-11-19,30.0,Credit Card,2022-11
U0006,2022-12-19,30.0,Bank Transfer,2022-12
U0006,2023-01-19,30.0,Bank Transfer,2023-01
U0007,2022-08-29,10.0,Bank Transfer,2022-08
U0007,2022-09-29,10.0,Credit Card,2022-09
U0007,2022-10-29,10.0,PayPal,2022-10
U0007,2022-11-29,10.0,Bank Transfer,2022-11
U0007,2022-12-29,10.0,PayPal,2022-12
U0007,2023-01-29,10.0,Bank Transfer,2023-01
U0008,2022-01-02,20.0,PayPal,2022-01
U0008,2022-02-02,20.0,Credit Card,2022-02
U0008,2022-03-02,20.0,Credit Card,2022-03
U0009,2022-01-04,10.0,Credit Card,2022-01
U0009,2022-02-04,10.0,Credit Card,2022-02
U0009,2022-03-04,10.0,Bank Transfer,2022-03
U0009,2022-04-04,10.0,Credit Card,2022-04
U0009,2022-05-04,10.0,PayPal,2022-05
U0009,2022-06-04,10.0,Bank Transfer,2022-06
U0009,2022-07-04,10.0,PayPal,2022-07
U0009,2022-08-04,10.0,Credit Card,2022-08
U0009,2022-09-04,10.0,PayPal,2022-09
U0009,2022-10-04,10.0,PayPal,2022-10
U0009,2022-11-04,10.0,Bank Transfer,2022-11
U0009,2022-12-04,10.0,Credit Card,2022-12
U0010,2022-10-07,20.0,Bank Transfer,2022-10
U0010,2022-11-07,20.0,Bank Transfer,2022-11
U0010,2022-12-07,20.0,PayPal,2022-12
U0011,2022-06-27,10.0,Credit Card,2022-06
U0011,2022-07-27,10.0,Bank Transfer,2022-07
