UserID,PaymentDate,Amount,PaymentMethod
U0001,2022-01-14,30,PayPal
U0001,2022-02-14,30,Credit Card
U0001,2022-03-14,30,Credit Card
U0001,2022-04-14,30,Bank Transfer
U0001,2022-05-14,30,PayPal
U0001,2022-06-14,30,PayPal
U0001,2022-07-14,30,Credit Card
U0001,2022-08-14,30,PayPal
U0001,2022-09-14,30,Credit Card
U0001,2022-10-14,30,Credit Card
U0001,2022-11-14,30,Bank Transfer
U0001,2022-12-14,30,PayPal
U0002,2022-08-25,20,PayPal
U0002,2022-09-25,20,PayPal
U0002,2022-10-25,20,PayPal
U0003,2022-10-08,20,Bank Transfer
U0004,2022-08-27,10,PayPal
U0004,2022-09-27,10,Bank Transfer
U0004,2022-10-27,10,Credit Card
U0005,2022-03-05,10,PayPal
U0005,2022-04-05,10,Bank Transfer
U0005,2022-05-05,10,Credit Card
U0005,2022-06-05,10,Bank Transfer
U0005,2022-07-05,10,Credit Card
U0005,2022-08-05,10,Credit Card
U0005,2022-09-05,10,PayPal
U0005,2022-10-05,10,Bank Transfer
U0005,2022-11-05,10,PayPal
U0005,2022-12-05,10,PayPal
U0005,2023-01-05,10,PayPal
U0005,2023-02-05,10,Credit Card
U0006,2022-08-19,30,PayPal
U0006,2022-09-19,30,Credit Card
U0006,2022-10-19,30,PayPal
U0006,2022-11-19,30,Credit Card
U0006,2022-12-19,30,Bank Transfer
U0006,2023-01-19,30,Bank Transfer
U0007,2022-08-29,10,Bank Transfer
U0007,2022-09-29,10,Credit Card
U0007,2022-10-29,10,PayPal
U0007,2022-11-29,10,Bank Transfer
U0007,2022-12-29,10,PayPal
U0007,2023-01-29,10,Bank Transfer
U0008,2022-01-02,20,PayPal
U0008,2022-02-02,20,Credit Card
U0008,2022-03-02,20,Credit Card
U0009,2022-01-04,10,Credit Card
U0009,2022-02-04,10,Credit Card
U0009,2022-03-04,10,Bank Transfer
U0009,2022-04-04,10,Credit Card
U0009,2022-05-04,10,PayPal
U0009,2022-06-04,10,Bank Transfer
U0009,2022-07-04,10,PayPal
U0009,2022-08-04,10,Credit Card
U0009,2022-09-04,10,PayPal
U0009,2022-10-04,10,PayPal
U0009,2022-11-04,10,Bank Transfer
U0009,2022-12-04,10,Credit Card
U0010,2022-10-07,20,Bank Transfer
U0010,2022-11-07,20,Bank Transfer
U0010,2022-12-07,20,PayPal
U0011,2022-06-27,10,Credit Card
U0011,2022-07-27,10,Bank Transfer
U0011,2022-08-27,10,PayPal
U0011,2022-09-27,10,Bank Transfer
U0011,2022-10-27,10,Credit Card
U0011,2022-11-27,10,Bank Transfer
U0011,2022-12-27,10,Bank Transfer
U0011,2023-01-27,10,PayPal
U0011,2023-02-27,10,PayPal
U0011,2023-03-27,10,Bank Transfer
U0011,2023-04-27,10,Bank Transfer
U0011,2023-05-27,10,Bank Transfer
U0012,2022-08-26,30,PayPal
U0012,2022-09-26,30,PayPal
U0012,2022-10-26,30,PayPal
U0013,2022-10-11,10,Bank Transfer
U0013,2022-11-11,10,Bank Transfer
U0013,2022-12-11,10,PayPal
U0013,2023-01-11,10,PayPal
U0013,2023-02-11,10,Credit Card
U0013,2023-03-11,10,Bank Transfer
U0014,2022-06-05,20,PayPal
U0015,2022-08-18,10,Bank Transfer
U0016,2022-12-20,20,PayPal
U0016,2023-01-20,20,Credit Card
U0016,2023-02-20,20,PayPal
U0016,2023-03-20,20,PayPal
U0016,2023-04-20,20,PayPal
U0016,2023-05-20,20,PayPal
U0016,2023-06-20,20,Bank Transfer
U0016,2023-07-20,20,Bank Transfer
U0016,2023-08-20,20,PayPal
U0016,2023-09-20,20,PayPal
U0016,2023-10-20,20,Bank Transfer
U0016,2023-11-20,20,Credit Card
U0017,2022-10-30,20,Credit Card
U0017,2022-11-30,20,Bank Transfer
U0017,2022-12-30,20,Bank Transfer
U0017,2023-01-30,20,Credit Card
U0017,2023-02-28,20,PayPal
U0017,2023-03-30,20,Credit Card
U0018,2022-12-27,10,PayPal
U0018,2023-01-27,10,Bank Transfer
U0018,2023-02-27,10,Bank Transfer
U0018,2023-03-27,10,Bank Transfer
U0018,2023-04-27,10,Bank Transfer
U0018,2023-05-27,10,Bank Transfer
U0018,2023-06-27,10,PayPal
U0018,2023-07-27,10,Credit Card
U0018,2023-08-27,10,PayPal
U0018,2023-09-27,10,PayPal
U0018,2023-10-27,10,PayPal
U0018,2023-11-27,10,Bank Transfer
U0019,2022-02-12,10,Credit Card
U0020,2022-02-14,30,Credit Card
U0020,2022-03-14,30,Bank Transfer
U0020,2022-04-14,30,PayPal
U0021,2022-10-15,30,Bank Transfer
U0021,2022-11-15,30,Credit Card
U0021,2022-12-15,30,PayPal
U0021,2023-01-15,30,Bank Transfer
U0021,2023-02-15,30,PayPal
U0021,2023-03-15,30,Bank Transfer
U0021,2023-04-15,30,PayPal
U0021,2023-05-15,30,PayPal
U0021,2023-06-15,30,PayPal
U0021,2023-07-15,30,Bank Transfer
U0021,2023-08-15,30,Bank Transfer
U0021,2023-09-15,30,Bank Transfer
U0022,2022-01-24,10,Credit Card
U0022,2022-02-24,10,Bank Transfer
U0022,2022-03-24,10,PayPal
U0022,2022-04-24,10,PayPal
U0022,2022-05-24,10,PayPal
U0022,2022-06-24,10,Credit Card
U0022,2022-07-24,10,PayPal
U0022,2022-08-24,10,Credit Card
U0022,2022-09-24,10,Bank Transfer
U0022,2022-10-24,10,Bank Transfer
U0022,2022-11-24,10,PayPal
U0022,2022-12-24,10,Credit Card
U0023,2022-04-08,30,PayPal
U0023,2022-05-08,30,Credit Card
U0023,2022-06-08,30,Bank Transfer
U0023,2022-07-08,30,Credit Card
U0023,2022-08-08,30,Credit Card
U0023,2022-09-08,30,Bank Transfer
U0023,2022-10-08,30,Credit Card
U0023,2022-11-08,30,Credit Card
U0023,2022-12-08,30,PayPal
U0023,2023-01-08,30,Bank Transfer
U0023,2023-02-08,30,Credit Card
U0023,2023-03-08,30,Credit Card
U0024,2022-03-21,20,PayPal
U0025,2022-08-10,20,Credit Card
U0025,2022-09-10,20,PayPal
U0025,2022-10-10,20,Credit Card
U0025,2022-11-10,20,PayPal
U0025,2022-12-10,20,Credit Card
U0025,2023-01-10,20,PayPal
U0026,2022-02-16,30,PayPal
U0026,2022-03-16,30,PayPal
U0026,2022-04-16,30,PayPal
U0027,2022-01-06,10,PayPal
U0027,2022-02-06,10,PayPal
U0027,2022-03-06,10,Bank Transfer
U0027,2022-04-06,10,PayPal
U0027,2022-05-06,10,Bank Transfer
U0027,2022-06-06,10,Bank Transfer
U0027,2022-07-06,10,Credit Card
U0027,2022-08-06,10,PayPal
U0027,2022-09-06,10,Bank Transfer
U0027,2022-10-06,10,Bank Transfer
U0027,2022-11-06,10,Bank Transfer
U0027,2022-12-06,10,Credit Card
U0028,2022-07-03,10,Bank Transfer
U0028,2022-08-03,10,Credit Card
U0028,2022-09-03,10,Credit Card
U0029,2022-03-27,30,Credit Card
U0030,2022-11-13,20,Bank Transfer
U0031,2022-11-06,30,PayPal
U0031,2022-12-06,30,Bank Transfer
U0031,2023-01-06,30,Bank Transfer
U0031,2023-02-06,30,Credit Card
U0031,2023-03-06,30,Credit Card
U0031,2023-04-06,30,PayPal
U0031,2023-05-06,30,Credit Card
U0031,2023-06-06,30,Credit Card
U0031,2023-07-06,30,Bank Transfer
U0031,2023-08-06,30,Credit Card
U0031,2023-09-06,30,PayPal
U0031,2023-10-06,30,Bank Transfer
U0032,2022-07-17,10,Bank Transfer
U0032,2022-08-17,10,Bank Transfer
U0032,2022-09-17,10,Credit Card
U0032,2022-10-17,10,Credit Card
U0032,2022-11-17,10,Bank Transfer
U0032,2022-12-17,10,PayPal
U0033,2022-06-02,20,Bank Transfer
U0033,2022-07-02,20,Credit Card
U0033,2022-08-02,20,Bank Transfer
U0033,2022-09-02,20,PayPal
U0033,2022-10-02,20,PayPal
U0033,2022-11-02,20,Credit Card
U0033,2022-12-02,20,Bank Transfer
U0033,2023-01-02,20,Credit Card
U0033,2023-02-02,20,PayPal
U0033,2023-03-02,20,Bank Transfer
U0033,2023-04-02,20,Bank Transfer
U0033,2023-05-02,20,Bank Transfer
U0034,2022-02-18,30,PayPal
U0034,2022-03-18,30,Credit Card
U0034,2022-04-18,30,Credit Card
U0034,2022-05-18,30,PayPal
U0034,2022-06-18,30,Credit Card
U0034,2022-07-18,30,PayPal
U0034,2022-08-18,30,Bank Transfer
U0034,2022-09-18,30,PayPal
U0034,2022-10-18,30,Credit Card
U0034,2022-11-18,30,PayPal
U0034,2022-12-18,30,Credit Card
U0034,2023-01-18,30,Bank Transfer
U0035,2022-08-17,20,Credit Card
U0035,2022-09-17,20,Bank Transfer
U0035,2022-10-17,20,Bank Transfer
U0036,2022-02-17,30,Credit Card
U0037,2022-09-10,30,PayPal
U0037,2022-10-10,30,Credit Card
U0037,2022-11-10,30,PayPal
U0037,2022-12-10,30,Bank Transfer
U0037,2023-01-10,30,Bank Transfer
U0037,2023-02-10,30,Credit Card
U0038,2022-07-07,30,PayPal
U0038,2022-08-07,30,Credit Card
U0038,2022-09-07,30,Credit Card
U0038,2022-10-07,30,Credit Card
U0038,2022-11-07,30,Credit Card
U0038,2022-12-07,30,Bank Transfer
U0039,2022-09-06,20,Bank Transfer
U0039,2022-10-06,20,Credit Card
U0039,2022-11-06,20,Credit Card
U0040,2022-12-16,10,Credit Card
U0040,2023-01-16,10,PayPal
U0040,2023-02-16,10,Bank Transfer
U0041,2022-12-27,30,Bank Transfer
U0041,2023-01-27,30,Credit Card
U0041,2023-02-27,30,Bank Transfer
U0042,2022-04-14,30,Bank Transfer
U0042,2022-05-14,30,Credit Card
U0042,2022-06-14,30,Credit Card
U0043,2022-08-04,30,Bank Transfer
U0043,2022-09-04,30,Credit Card
U0043,2022-10-04,30,PayPal
U0044,2022-12-20,20,Credit Card
U0044,2023-01-20,20,Bank Transfer
U0044,2023-02-20,20,Bank Transfer
U0045,2022-03-21,20,PayPal
U0045,2022-04-21,20,PayPal
U0045,2022-05-21,20,Bank Transfer
U0045,2022-06-21,20,Credit Card
U0045,2022-07-21,20,Credit Card
U0045,2022-08-21,20,Bank Transfer
U0046,2022-06-15,30,Bank Transfer
U0046,2022-07-15,30,PayPal
U0046,2022-08-15,30,Bank Transfer
U0046,2022-09-15,30,Credit Card
U0046,2022-10-15,30,PayPal
U0046,2022-11-15,30,Bank Transfer
U0046,2022-12-15,30,Bank Transfer
U0046,2023-01-15,30,PayPal
U0046,2023-02-15,30,PayPal
U0046,2023-03-15,30,Bank Transfer
U0046,2023-04-15,30,Credit Card
U0046,2023-05-15,30,PayPal
U0047,2022-12-27,20,Credit Card
U0048,2022-04-27,10,PayPal
U0048,2022-05-27,10,PayPal
U0048,2022-06-27,10,PayPal
U0048,2022-07-27,10,PayPal
U0048,2022-08-27,10,PayPal
U0048,2022-09-27,10,Bank Transfer
U0049,2022-01-23,10,PayPal
U0049,2022-02-23,10,Credit Card
U0049,2022-03-23,10,PayPal
U0049,2022-04-23,10,Bank Transfer
U0049,2022-05-23,10,Bank Transfer
U0049,2022-06-23,10,Bank Transfer
U0050,2022-01-03,10,PayPal
U0050,2022-02-03,10,PayPal
U0050,2022-03-03,10,PayPal
U0051,2022-08-11,30,Bank Transfer
U0051,2022-09-11,30,PayPal
U0051,2022-10-11,30,Credit Card
U0052,2022-07-21,20,Bank Transfer
U0052,2022-08-21,20,Credit Card
U0052,2022-09-21,20,Credit Card
U0053,2022-07-06,20,Bank Transfer
U0053,2022-08-06,20,PayPal
U0053,2022-09-06,20,PayPal
U0054,2022-04-27,20,Credit Card
U0054,2022-05-27,20,PayPal
U0054,2022-06-27,20,Credit Card
U0054,2022-07-27,20,Bank Transfer
U0054,2022-08-27,20,Credit Card
U0054,2022-09-27,20,PayPal
U0055,2022-03-10,20,PayPal
U0055,2022-04-10,20,Bank Transfer
U0055,2022-05-10,20,PayPal
U0056,2022-05-22,30,PayPal
U0056,2022-06-22,30,Bank Transfer
U0056,2022-07-22,30,PayPal
U0056,2022-08-22,30,Bank Transfer
U0056,2022-09-22,30,PayPal
U0056,2022-10-22,30,PayPal
U0056,2022-11-22,30,Bank Transfer
U0056,2022-12-22,30,Bank Transfer
U0056,2023-01-22,30,Credit Card
U0056,2023-02-22,30,Credit Card
U0056,2023-03-22,30,Bank Transfer
U0056,2023-04-22,30,Credit Card
U0057,2022-12-12,10,Credit Card
U0057,2023-01-12,10,PayPal
U0057,2023-02-12,10,Bank Transfer
U0058,2022-08-06,30,PayPal
U0058,2022-09-06,30,Bank Transfer
U0058,2022-10-06,30,PayPal
U0058,2022-11-06,30,Bank Transfer
U0058,2022-12-06,30,PayPal
U0058,2023-01-06,30,PayPal
U0058,2023-02-06,30,PayPal
U0058,2023-03-06,30,Credit Card
U0058,2023-04-06,30,Bank Transfer
U0058,2023-05-06,30,Credit Card
U0058,2023-06-06,30,Credit Card
U0058,2023-07-06,30,Credit Card
U0059,2022-10-15,20,PayPal
U0059,2022-11-15,20,PayPal
U0059,2022-12-15,20,Credit Card
U0059,2023-01-15,20,PayPal
U0059,2023-02-15,20,Bank Transfer
U0059,2023-03-15,20,Bank Transfer
U0060,2022-06-01,20,PayPal
U0060,2022-07-01,20,Bank Transfer
U0060,2022-08-01,20,Bank Transfer
U0061,2022-05-24,10,Credit Card
U0061,2022-06-24,10,PayPal
U0061,2022-07-24,10,PayPal
U0061,2022-08-24,10,Credit Card
U0061,2022-09-24,10,Credit Card
U0061,2022-10-24,10,Credit Card
U0062,2022-06-29,30,PayPal
U0062,2022-07-29,30,Bank Transfer
U0062,2022-08-29,30,Credit Card
U0062,2022-09-29,30,Credit Card
U0062,2022-10-29,30,PayPal
U0062,2022-11-29,30,Credit Card
U0063,2022-12-09,30,Credit Card
U0063,2023-01-09,30,Credit Card
U0063,2023-02-09,30,Bank Transfer
U0063,2023-03-09,30,Credit Card
U0063,2023-04-09,30,Bank Transfer
U0063,2023-05-09,30,PayPal
U0063,2023-06-09,30,Credit Card
U0063,2023-07-09,30,PayPal
U0063,2023-08-09,30,Credit Card
U0063,2023-09-09,30,Bank Transfer
U0063,2023-10-09,30,Credit Card
U0063,2023-11-09,30,Bank Transfer
U0064,2022-11-20,10,Bank Transfer
U0064,2022-12-20,10,Bank Transfer
U0064,2023-01-20,10,Credit Card
U0064,2023-02-20,10,Bank Transfer
U0064,2023-03-20,10,Bank Transfer
U0064,2023-04-20,10,Bank Transfer
U0065,2022-01-04,30,Bank Transfer
U0065,2022-02-04,30,Bank Transfer
U0065,2022-03-04,30,Credit Card
U0066,2022-03-22,10,Bank Transfer
U0066,2022-04-22,10,Credit Card
U0066,2022-05-22,10,Bank Transfer
U0066,2022-06-22,10,Credit Card
U0066,2022-07-22,10,Credit Card
U0066,2022-08-22,10,Bank Transfer
U0066,2022-09-22,10,Credit Card
U0066,2022-10-22,10,Credit Card
U0066,2022-11-22,10,Bank Transfer
U0066,2022-12-22,10,PayPal
U0066,2023-01-22,10,Bank Transfer
U0066,2023-02-22,10,PayPal
U0067,2022-06-14,10,PayPal
U0067,2022-07-14,10,Bank Transfer
